Order ID,Order Date,Day,Country,City,Lat,Lng,Full Name,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Total Cost,Status,Gender
1726,22/01/2023,Mon,Morocco,casablanca,33.5731,7.5898,Karam Zaetar,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,Y332,4,3499,394.6872,6051.8704,False,Female
1727,22/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Sandra Husayn,Smart Speaker,Sonos One,Sonos One SL,O867,3,179,789.39,315.756,False,Female
1728,22/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Fatir Astitih,Smartphone,Google Pixel,Google Pixel 6 Pro,Y270,4,899,1755.747,1906.2396,True,Male
1729,22/01/2023,Mon,USA,new york,40.7128,-74.006,Rawan Milatu,Smartwatch,Samsung Galaxy,Galaxy Watch 4,R426,4,349,115.1002,291.1358,True,Female
1730,22/01/2023,Tue,Syria,homs,34.7326,36.7136,Jan Alshghry,Smart Speaker,JBL Link,JBL Link 20,Y087,3,99,92.169,71.7948,True,Female
1731,22/01/2023,Tue,France,paris,48.8566,2.3522,Muhamad Alhiwat,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,C787,7,849,622.4868,1771.6932,True,Male
1732,22/01/2023,Mon,Saudi Arabia,riyadh,24.7136,46.6753,Sami Muayid,Smart Speaker,Bose Home Speaker,Bose Home Speaker 300,R426,5,199,123.579,75.222,True,Female
1733,22/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Zahir Euthman,Smart Speaker,JBL Link,JBL Link 500,T332,3,249,44.3718,443.718,True,Female
1734,22/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Alia Darkzifli,Headphones,Anker Soundcore,Anker Soundcore Liberty Air 2 Pro,E484,3,99,38.412,26.8884,True,Male
1735,22/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Zayn Nabulsi,Laptop,Dell XPS,XPS 15,U858,4,1599,47.0106,1253.616,True,Female
1736,22/01/2023,Tue,USA,new york,40.7498,-73.9814,Hamzaa Alakhris,Digital Camera,Canon EOS,Canon EOS M50 Mark II,Y692,4,649,175.23,305.03,True,Female
1737,22/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Muhamad Mia,Fitness Tracker,Withings Move,Withings Move ECG,N259,3,129,40.7898,55.1862,True,Male
1738,22/01/2023,Wed,Saudi Arabia,riyadh,24.7743,46.7386,Muhamad Mudinih,Smartwatch,Huawei Watch,Huawei Watch GT 3,C793,3,249,199.1502,222.3072,True,Female
1739,22/01/2023,Wed,Saudi Arabia,riyadh,24.7136,46.6753,Fatir Albazir,Laptop,Microsoft Surface,Surface Book 3,P617,7,1599,403.2678,16937.2476,False,Female
1740,22/01/2023,Wed,United Arab Emirates,fujairah,25.1286,56.3242,Fatima Eisaf,Fitness Tracker,Garmin Approach,Garmin Approach S62,F344,4,499,125.8478,135.5284,True,Male
1741,22/01/2023,Wed,Egypt,cairo,30.0444,31.2357,Bashshar Hamid,Digital Camera,Fujifilm X Series,Fujifilm X100V,J677,3,1399,165.5017,1031.2029,True,Female
1742,22/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Iilyas Efan,Smartwatch,Samsung Galaxy,Galaxy Watch Active 2,G405,4,249,203.931,78.435,True,Female
1743,22/01/2023,Tue,Syria,damascus,33.5138,36.2765,Tariq Abu Taqih,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,H466,5,599,766.9596,1324.7484,True,Male
1744,22/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Muhamad Muhamad,Smart Speaker,Amazon Echo Show,Amazon Echo Show 10 (3rd Gen),Z901,4,249,376.488,8.964,False,Female
1745,22/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Lwy Alkmshh,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,X915,5,799,406.5312,184.0896,False,Female
1746,22/01/2023,Tue,Saudi Arabia,riyadh,24.7136,46.6753,Ayham Aleisaa,Gaming Console,Sony PlayStation,PlayStation 4 Slim,Q992,3,299,161.161,93.7664,True,Male
1747,22/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Rawan Alhabis,Tablet,Samsung Galaxy Tab S,Galaxy Tab S8+,L841,4,749,362.2164,90.5541,True,Female
1748,22/01/2023,Wed,Saudi Arabia,aseer,18.2311,42.5004,Muhamad Alghumyan,Digital Camera,Canon EOS,Canon EOS R6,H868,7,2499,3550.5792,4558.176,True,Female
1749,22/01/2023,Tue,Saudi Arabia,aseer,18.2311,42.5004,Ali Alem,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,R159,4,849,2345.0229,2168.5158,True,Male
1750,22/01/2023,Tue,Syria,aleppo,36.2021,37.1343,Ramadan Ismaeil,VR Headset,Oculus Rift,Oculus Rift S,V078,3,399,52.5084,172.5276,False,Female
1751,22/01/2023,Tue,Saudi Arabia,dammam,26.3927,49.9777,Batual Taliea,Gaming Console,Retro Console,Sega Genesis Mini,E437,3,79,75.8637,35.9766,True,Female
1752,22/01/2023,Mon,France,paris,48.8566,2.3522,Muhamad Alshahf,VR Headset,HTC Vive Pro,HTC Vive Pro 2,H868,2,1099,1921.052,522.025,True,Male
1753,22/01/2023,Sat,USA,new york,40.7128,-74.006,Abd Alruhmin Aljuju,Headphones,Sennheiser HD,Sennheiser HD 450BT,L028,7,129,126.42,30.3408,True,Female
1754,22/01/2023,Wed,Saudi Arabia,jeddah,21.4858,39.1925,Ruaa Alhasan,Fitness Tracker,Huawei Band,Huawei Band 6,U751,6,59,13.806,81.774,False,Female
1755,22/01/2023,Tue,France,paris,48.8566,2.3522,Rannym Einziin,Smartphone,Xiaomi Mi,Xiaomi Mi 12,I036,4,799,313.208,618.5858,True,Male
1756,22/01/2023,Sat,United Arab Emirates,abu dhabi,24.4539,54.3773,Suzan Saeadat,Laptop,ASUS ROG,ASUS ROG Strix G15,P950,4,1099,234.5266,170.5648,True,Female
1757,22/01/2023,Mon,United Arab Emirates,abu dhabi,24.4539,54.3773,Hamdah Badran,Tablet,Apple iPad Pro,"iPad Pro 12.9"" (5th Gen)",Y518,4,1099,1941.2736,316.512,False,Female
1758,22/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Muhamad Sabih,Smart Speaker,Bose Home Speaker,Bose Home Speaker 300,K473,4,199,68.058,3.582,False,Male
1759,22/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Ruba Musur,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5,J860,4,1299,800.7036,83.6556,True,Female
1760,22/01/2023,Wed,Morocco,casablanca,33.5731,7.5898,Sana Aljarshi,Headphones,Sennheiser HD,Sennheiser HD 599 SE,G451,6,199,68.9535,29.5515,False,Female
1761,22/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Sali Alahmad,VR Headset,Pimax Vision,Pimax Vision 8KX,Q992,3,999,556.2432,805.5936,False,Male
1762,22/01/2023,Wed,Syria,aleppo,36.2021,37.1343,Alaa Hmshw,Laptop,Lenovo ThinkPad,ThinkPad X13,J753,3,999,287.712,773.226,False,Female
1763,22/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Muhamad Ziada,Fitness Tracker,Withings Move,Withings Move ECG,X416,6,129,2.322,52.245,True,Female
1764,22/01/2023,Tue,USA,new york,40.7498,-73.9814,Hamzaa Alsiyah,VR Headset,Valve Index,Valve Index VR Kit 2,N259,4,1199,6883.2192,12868.6272,False,Male
1765,22/01/2023,Tue,United Arab Emirates,dubai,25.2048,55.2708,Tawfiq Alkhalid,Headphones,Bose SoundSport,Bose SoundSport Wireless,H130,3,129,19.8144,60.6816,True,Female
1766,22/01/2023,Wed,Egypt,asyut,27.1809,31.1837,Fadi Musuh,VR Headset,HTC Vive Pro,HTC Vive Pro 2,C793,4,1099,559.1712,358.7136,False,Female
1767,22/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Eala Nahlawi,Gaming Console,Nintendo Switch,Nintendo Switch Lite,C787,8,199,9.353,31.8002,True,Male
1768,22/01/2023,Wed,Saudi Arabia,jeddah,21.4858,39.1925,Abdallah Albaghdadi,Tablet,Microsoft Surface,Surface Pro 7,I729,4,799,581.2725,217.0084,True,Female
1769,22/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Muhamad Lulu,Headphones,Sennheiser HD,Sennheiser HD 599 SE,H520,4,199,86.6844,11.8206,True,Female
1770,22/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Esamat Eilwan,Tablet,Amazon Fire HD,Amazon Fire HD 8,W336,4,89,7.7697,1.7266,True,Male
1771,22/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Ghassan Almuneim,Smartphone,Xiaomi Mi,Xiaomi Mi 12,X173,5,799,127.84,31.96,False,Female
1772,22/01/2023,Tue,Syria,aleppo,36.2021,37.1343,Abd Alwahhab Eurul,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),Y493,5,49,17.4048,42.336,True,Female
1773,22/01/2023,Mon,Egypt,cairo,30.0444,31.2357,Mazin Hmw,Digital Camera,Nikon Coolpix,Nikon Coolpix P1000,Q031,5,999,678.321,484.515,True,Male
1774,22/01/2023,Tue,USA,new york,40.7498,-73.9814,Sarah Alquatliu,Headphones,Sony WH,Sony WH-CH710N,B099,3,129,37.152,91.719,True,Female
1775,22/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Lwy Almarstani,Headphones,Bose SoundSport,Bose SoundSport Wireless,D297,5,129,24.252,86.0946,True,Female
1776,23/01/2023,Mon,USA,washington,38.9072,-77.0369,Ahmad Asamh,Headphones,Sennheiser HD,Sennheiser HD 599 SE,B938,4,199,136.116,48.357,True,Male
1777,23/01/2023,Mon,Morocco,casablanca,33.5731,7.5898,Ali Alghan,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus,U290,4,229,107.7216,204.2222,False,Female
1778,23/01/2023,Tue,USA,new york,40.7128,-74.006,Fawaz Alshulyan,Gaming Console,Sony PlayStation,PlayStation 5,C068,5,499,788.42,578.84,True,Female
1779,23/01/2023,Mon,France,paris,48.8566,2.3522,Riad Albaghdadi,Laptop,Apple MacBook,"MacBook Air 13""",S501,3,999,746.1531,4476.9186,True,Male
1780,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Tariq Dib,Digital Camera,Panasonic Lumix,Panasonic Lumix ZS200,S348,3,799,408.6885,163.4754,True,Female
1781,23/01/2023,Tue,Saudi Arabia,dammam,26.3927,49.9777,Muayid Zaydan,Digital Camera,Fujifilm X Series,Fujifilm X100V,Q031,5,1399,14971.5384,10999.4976,True,Female
1782,23/01/2023,Mon,Saudi Arabia,riyadh,24.7136,46.6753,Abd Almalik Salhany,Headphones,Jabra Elite,Jabra Elite 85t,E484,5,229,172.8034,69.5702,True,Male
1783,23/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Ahmad Alsyqly,VR Headset,Valve Index,Valve Index VR Kit 2,A261,5,1199,558.2544,767.5998,False,Female
1784,23/01/2023,Fri,Morocco,casablanca,33.5731,7.5898,Zahir Turkamani,Tablet,Microsoft Surface,Surface Go 2,N077,2,399,330.2523,356.2272,False,Female
1785,23/01/2023,Mon,United Arab Emirates,fujairah,25.1286,56.3242,Anwar Klizli,Fitness Tracker,Withings Move,Withings Move ECG,S935,4,129,94.3635,105.393,True,Male
1786,23/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Eazalidin Albaghdadi,Fitness Tracker,Withings Move,Withings Move,X915,4,59,29.205,35.046,False,Female
1787,23/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Salam Hamj,Smartphone,Apple iPhone,iPhone 13 Pro Max,Z924,3,1299,691.068,555.3225,False,Female
1788,23/01/2023,Mon,United Arab Emirates,abu dhabi,24.4539,54.3773,Ali Almuhamad,VR Headset,Valve Index,Valve Index VR Kit,Y940,5,999,8999.991,197.802,False,Male
1789,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Lujin Shams,Gaming Console,Nintendo Switch,Nintendo Switch OLED,S149,4,349,44.4626,246.2544,True,Female
1790,23/01/2023,Mon,USA,new york,40.7128,-74.006,Fatnh Zueitr,VR Headset,Pimax Vision,Pimax Vision 5K Super,R236,4,899,523.9372,118.3084,True,Female
1791,23/01/2023,Tue,Saudi Arabia,jeddah,21.5433,39.1728,Muhamad Shueayb,Fitness Tracker,Withings Move,Withings Move,N969,4,59,26.6208,0.5664,False,Male
1792,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Adnan Mareiun,Gaming Console,Sony PlayStation,PlayStation 5,B259,6,499,37.1256,153.1431,True,Female
1793,23/01/2023,Wed,Syria,damascus,33.5146,36.3084,Fawaz Eyd Bndqjy,Smart Speaker,JBL Link,JBL Link 20,G345,5,99,82.863,52.569,False,Female
1794,23/01/2023,Fri,Saudi Arabia,jeddah,21.5433,39.1728,Samir Tutwnji,Digital Camera,Canon EOS,Canon EOS R6,U751,2,2499,728.2086,1503.3984,True,Male
1795,23/01/2023,Tue,Morocco,casablanca,33.5731,7.5898,Rami Darkzifli,VR Headset,HP Reverb,HP Reverb G2,Y590,2,599,1261.494,1374.705,False,Female
1796,23/01/2023,Tue,Syria,homs,34.7326,36.7136,Fadi Shiah,Laptop,Microsoft Surface,Surface Laptop 4,Z398,4,1299,436.464,1097.3952,True,Female
1797,23/01/2023,Fri,USA,new york,40.7312,-73.9998,Omar Alaleppoy,Smartwatch,Garmin Fenix,Garmin Fenix 7,X906,7,699,339.015,142.3863,False,Male
1798,23/01/2023,Tue,Egypt,asyut,27.1809,31.1837,Biaism Marwan,Headphones,Bose QuietComfort,QC35 II,O847,6,299,284.1696,212.4096,True,Female
1799,23/01/2023,Tue,Morocco,casablanca,33.5731,7.5898,Ibrahim Alghazi,Fitness Tracker,Amazfit GTR,Amazfit GTR 2e,J885,5,99,37.224,67.0032,True,Female
1800,23/01/2023,Mon,Saudi Arabia,riyadh,24.7743,46.7386,Khalid Alqudmani,Smartwatch,Samsung Gear,Samsung Gear Fit 4,J501,4,199,50.7052,1774.682,False,Male
1801,23/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Alyida Murad,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,F553,7,129,110.3724,43.9116,True,Female
1802,23/01/2023,Mon,France,paris,48.8566,2.3522,Sari Zaerur,Smart Speaker,Amazon Echo,Echo Show 8,J860,2,129,26.6772,107.9214,True,Female
1803,23/01/2023,Tue,USA,new york,40.7498,-73.9814,Ibrahim Aldubus,VR Headset,Valve Index,Valve Index VR Kit,R660,3,999,127.2726,225.1746,False,Male
1804,23/01/2023,Mon,USA,washington,38.9072,-77.0369,Kholoud Alqudmani,Smartwatch,Huawei Watch,Huawei Watch GT 2e,Q963,5,129,50.568,42.9828,True,Female
1805,23/01/2023,Wed,Egypt,asyut,27.1809,31.1837,Majdy Alhilaq,Tablet,Lenovo Tab,Lenovo Tab P11 Pro,C371,4,499,204.3405,199.7996,True,Female
1806,23/01/2023,Wed,Saudi Arabia,dammam,26.3927,49.9777,Rima Zaerur,Digital Camera,Panasonic Lumix,Panasonic Lumix ZS200,B541,4,799,751.06,527.34,False,Male
1807,23/01/2023,Mon,Syria,aleppo,36.2021,37.1343,Muhamad Alhusayn,Headphones,Bose QuietComfort,QC35 II,P773,5,299,38.87,29.9,True,Female
1808,23/01/2023,Wed,USA,washington,38.9072,-77.0369,Amjad Aleasimii,Smart Speaker,Amazon Echo,Echo Dot (4th Gen),Y716,3,49,83.8488,33.3592,True,Female
1809,23/01/2023,Mon,Syria,homs,34.7326,36.7136,Aryj Sabiq,Fitness Tracker,Amazfit Bip,Amazfit Bip S,F650,3,49,83.79,62.377,True,Male
1810,23/01/2023,Wed,Egypt,cairo,30.0444,31.2357,Ramiz Bahriin,Digital Camera,Fujifilm X Series,Fujifilm X100V,Q599,4,1399,299.2461,832.6848,True,Female
1811,23/01/2023,Wed,USA,washington,38.9072,-77.0369,Muhamad Allaham,Laptop,Microsoft Surface,Surface Book 3,B938,3,1599,1349.3961,1411.4373,True,Female
1812,23/01/2023,Mon,Saudi Arabia,jeddah,21.5433,39.1728,Lina Albush,VR Headset,HTC Vive,HTC Vive Cosmos Elite,H466,5,899,983.8656,1639.776,True,Male
1813,23/01/2023,Wed,United Arab Emirates,abu dhabi,24.4764,54.3705,Mazin Nasif,Smartwatch,Apple Watch,Apple Watch SE,T592,4,279,85.374,213.435,True,Female
1814,23/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Rwbyna Shbyb,Laptop,Lenovo Legion,Lenovo Legion 5,W206,3,1099,970.0873,319.809,False,Female
1815,23/01/2023,Wed,Saudi Arabia,riyadh,24.7743,46.7386,Muhamad Allibad,VR Headset,Sony PlayStation,PlayStation VR,H520,4,299,216.8348,93.7664,False,Male
1816,23/01/2023,Wed,Saudi Arabia,aseer,18.2311,42.5004,Samah Alshaykh,Fitness Tracker,Xiaomi Mi Band,Xiaomi Mi Band 6,J730,1,39,27.2376,15.5103,True,Female
1817,23/01/2023,Fri,Saudi Arabia,jeddah,21.5433,39.1728,Aishah Almala,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,H320,6,49,35.1722,36.5981,False,Female
1818,23/01/2023,Mon,Syria,homs,34.7326,36.7136,Abdalrhmin Hamdu,VR Headset,Valve Index,Valve Index VR Kit 2,A512,6,1199,92.0832,391.3536,True,Male
1819,23/01/2023,Wed,USA,las vegas,36.1699,-115.1398,Ibrahim Qarh,Laptop,ASUS ROG,ASUS ROG Flow Z13,F792,4,2499,899.64,1074.57,True,Female
1820,23/01/2023,Fri,Morocco,casablanca,33.5731,7.5898,Razaan Zarie,VR Headset,Oculus Quest,Oculus Quest 3,S809,4,599,469.616,569.4094,True,Female
1821,23/01/2023,Mon,USA,new york,40.7128,-74.006,Muhamad Sakar,Laptop,Dell XPS,XPS 15,Q149,4,1599,120.2448,1202.448,True,Male
1822,23/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Hanan Qadimati,Smartphone,Apple iPhone,iPhone 13 Pro Max,N664,4,1299,180.0414,1093.1085,False,Female
1823,23/01/2023,Mon,USA,new york,40.7312,-73.9998,Ahmad Almisri,Gaming Console,Sony PlayStation,PlayStation 4 Pro,R021,7,399,344.736,517.104,True,Female
1824,23/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Ahmad Shaykh Janid,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,J536,4,129,24.6519,116.2161,True,Male
1825,23/01/2023,Tue,Syria,homs,34.7326,36.7136,Salim Musaa,Smart Speaker,Google Nest,Nest Audio,V236,2,99,256.608,393.4656,True,Female
1826,23/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Omaimah Albarghali,Headphones,Sony WH,Sony WH-1000XM4,L412,4,349,13.5412,108.3296,True,Female
1827,23/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Basmah Alhamal,Smartphone,Google Pixel,Google Pixel 6 Pro,Z901,6,899,549.3789,592.9804,False,Male
1828,23/01/2023,Mon,USA,new york,40.7498,-73.9814,Iin Aljizamati,Smart Speaker,Google Nest,Nest Audio,C780,7,99,53.7768,268.884,False,Female
1829,23/01/2023,Wed,USA,new york,40.7312,-73.9998,Eazalidin Qisi,Smartwatch,Samsung Gear,Samsung Gear Fit 4,B392,4,199,351.3146,972.8712,True,Female
1830,23/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Alaa Alhilaq,Smartphone,OnePlus,OnePlus 10 Pro,Y716,5,999,861.5376,48.951,True,Male
1831,23/01/2023,Mon,USA,new york,40.7128,-74.006,Ahmad Dulul,Tablet,Amazon Fire HD,Amazon Fire HD 8 Plus,Z409,3,129,50.31,69.66,True,Female
1832,23/01/2023,Tue,USA,new york,40.7128,-74.006,Ghada Salim,VR Headset,Oculus Quest,Oculus Quest 2 (64GB),L841,5,299,281.2095,23.6808,True,Female
1833,23/01/2023,Tue,Egypt,cairo,30.0444,31.2357,Iin Musaa,VR Headset,Oculus Quest,Oculus Quest 2 (256GB),H574,5,399,202.5324,213.7842,False,Male
1834,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Anwar Shanan,Gaming Console,Microsoft Xbox,Xbox Series S,J191,4,299,51.6672,137.7792,False,Female
1835,23/01/2023,Tue,Saudi Arabia,riyadh,24.7743,46.7386,Omar Asead,Smartphone,Xiaomi Redmi,Xiaomi Redmi 10,Y590,4,199,212.0544,320.9472,False,Female
1836,23/01/2023,Fri,Saudi Arabia,dammam,26.3927,49.9777,Muhamad Almaghribi,Smart Speaker,Sonos One,Sonos One SL,S055,4,179,129.5602,74.0344,True,Male
1837,23/01/2023,Sat,USA,new york,40.7312,-73.9998,Bakr Alaya,Smartwatch,Garmin Forerunner,Garmin Forerunner 945,R021,6,599,270.0292,393.3034,True,Female
1838,23/01/2023,Tue,USA,new york,40.7128,-74.006,Abd Allah Astitih,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,O867,4,129,375.4674,218.3841,True,Female
1839,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4539,54.3773,Rasha Alhusayni,Smartphone,Samsung Galaxy,Galaxy A52,Z713,4,399,107.2512,95.76,True,Male
1840,23/01/2023,Mon,Saudi Arabia,riyadh,24.7743,46.7386,Muhamad Bikri,Digital Camera,Canon EOS,Canon EOS M50 Mark II,R236,5,649,5015.472,2221.1376,True,Female
1841,23/01/2023,Tue,France,paris,48.8566,2.3522,Abd Alruhmin Aleabd,Smartwatch,Huawei Watch,Huawei Watch GT 2e,Y684,5,129,11.997,70.7823,False,Female
1842,23/01/2023,Mon,Syria,aleppo,36.2021,37.1343,Ayham Aldrwysh,Headphones,JBL Live,JBL Live 500BT,J345,4,99,31.6404,104.2272,True,Male
1843,23/01/2023,Tue,USA,washington,38.9072,-77.0369,Kinda Mustafaa,Fitness Tracker,Fitbit Versa,Fitbit Versa 3,Q149,4,229,44.884,134.652,True,Female
1844,23/01/2023,Mon,Egypt,asyut,27.1809,31.1837,Abd Alruhmin Alkhalifa,Gaming Console,Sony PlayStation,PlayStation 3 Slim,P773,5,199,344.071,2064.426,True,Female
1845,23/01/2023,Wed,United Arab Emirates,abu dhabi,24.4539,54.3773,Lwna Tabanaj,Digital Camera,Canon EOS,Canon EOS M50 Mark II,L841,4,649,249.216,479.7408,False,Male
1846,23/01/2023,Mon,Saudi Arabia,jeddah,21.5433,39.1728,Faras Bashshar,VR Headset,HP Reverb G2 Omnicept,HP Reverb G2 Omnicept,F070,3,799,452.5536,636.6432,False,Female
1847,23/01/2023,Thu,Saudi Arabia,jeddah,21.4858,39.1925,Muhamad Hisan,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y998,1,799,2592.5952,1794.8736,False,Female
1848,23/01/2023,Tue,Saudi Arabia,dammam,26.3927,49.9777,Bilal Eali,Tablet,Samsung Galaxy Tab S,Galaxy Tab S8+,T682,4,749,337.9488,232.3398,True,Male
1849,23/01/2023,Mon,Saudi Arabia,riyadh,24.7743,46.7386,Ahmad Abu,Gaming Console,Nintendo Switch,Nintendo Switch Pro,Y716,6,399,326.7012,51.3912,False,Female
1850,23/01/2023,Tue,USA,new york,40.7128,-74.006,Rima Albazir,VR Headset,Oculus Quest,Oculus Quest 3,B377,1,599,300.8178,668.484,True,Female
1851,23/01/2023,Mon,Morocco,casablanca,33.5731,7.5898,Asf Alnajar,Laptop,HP Envy,Envy 15,Y523,6,1199,934.021,364.496,True,Male
1852,23/01/2023,Mon,USA,new york,40.7128,-74.006,Hasan Hamada,Tablet,Lenovo Tab,Lenovo Tab M7,H466,2,79,65.4199,10.0646,True,Female
1853,23/01/2023,Tue,United Arab Emirates,abu dhabi,24.4764,54.3705,Iin Murad,Smartwatch,Huawei Watch,Huawei Watch GT 3,G449,3,249,453.8772,473.3988,True,Female
1854,23/01/2023,Tue,USA,washington,38.9072,-77.0369,Rima Klizli,Gaming Console,Microsoft Xbox,Xbox Original,R021,4,69,58.7466,43.0353,False,Male
1855,23/01/2023,Wed,Egypt,asyut,27.1809,31.1837,Bidralidin Eijluni,Digital Camera,Sony Cyber-shot,Sony Cyber-shot RX100 VII,E945,3,1199,188.0032,1069.2682,False,Female
1856,23/01/2023,Wed,United Arab Emirates,abu dhabi,24.4539,54.3773,Sayf Aldiyn Qadimati,Fitness Tracker,Fitbit Versa,Fitbit Versa 2,G267,4,179,114.381,19.332,False,Female
1857,23/01/2023,Wed,Saudi Arabia,jeddah,21.4858,39.1925,Ehab Rashwani,Tablet,Amazon Fire,Amazon Fire HD 10,S988,5,149,47.6204,75.6324,False,Male
1858,23/01/2023,Mon,USA,washington,38.9072,-77.0369,Abd Alhadi Farahat,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y590,3,799,438.4912,548.114,True,Female
1859,23/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Ismaeil Musur,Laptop,Microsoft Surface,Surface Book 3,K081,3,1599,232.6545,1349.3961,True,Female
1860,23/01/2023,Wed,Saudi Arabia,jeddah,21.4858,39.1925,Shafiq Alhamal,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus,U646,4,229,195.9324,176.7651,True,Male
1861,23/01/2023,Wed,Syria,damascus,33.5146,36.3084,Imran Balatah,Gaming Console,Nintendo Switch,Nintendo Switch OLED Pro,I738,4,449,141.435,246.501,True,Female
1862,23/01/2023,Tue,Saudi Arabia,jeddah,21.4858,39.1925,Lina Ahmad,Smartwatch,Garmin Fenix,Garmin Fenix 7,E166,4,699,144.5532,446.8008,True,Female
1863,24/01/2023,Mon,USA,new york,40.7128,-74.006,Ayat Shadi Alghazy,VR Headset,HTC Vive,HTC Vive Pro,I917,4,799,705.9165,630.0115,True,Male
1864,24/01/2023,Tue,Syria,damascus,33.5146,36.3084,Ali Zaytun,Fitness Tracker,Huawei Band,Huawei Band 4 Pro,F650,4,49,47.8485,58.7853,True,Female
1865,24/01/2023,Tue,France,paris,48.8566,2.3522,Katy Khalid,Gaming Console,Sony PlayStation,PlayStation 3,Y716,3,199,330.9768,204.8904,False,Female
1866,24/01/2023,Mon,USA,washington,38.9072,-77.0369,Tala Bayazid,Fitness Tracker,Amazfit GTR,Amazfit GTR 2e,W206,4,99,48.015,16.3251,True,Male
1867,24/01/2023,Mon,Saudi Arabia,aseer,18.2311,42.5004,Rannym Nasir,Tablet,Apple iPad,"iPad Pro 12.9""",Q468,3,999,2327.2704,1672.7256,True,Female
1868,24/01/2023,Tue,USA,las vegas,36.1699,-115.1398,Mahir Albaytar,Headphones,Anker Soundcore,Anker Soundcore Life Q30,Y446,8,79,5.0876,29.072,True,Female
1869,24/01/2023,Fri,United Arab Emirates,dubai,25.2048,55.2708,Muhamad Alaishhab,Smartwatch,Huawei Watch,Huawei Watch GT 2e,K006,6,129,326.3184,177.5556,False,Male
1870,24/01/2023,Tue,USA,new york,40.7498,-73.9814,Mahir Almtlq,Smart Speaker,Bose Home Speaker,Bose Home Speaker 500,R551,4,299,183.7056,163.6128,True,Female
1871,24/01/2023,Mon,USA,washington,38.9072,-77.0369,Sayban Abu,Gaming Console,Nintendo Switch,Nintendo Switch OLED,B938,3,349,665.892,113.076,True,Female
1872,24/01/2023,Mon,Saudi Arabia,jeddah,21.4858,39.1925,Abd Allatif Abunfis,Digital Camera,Sony Alpha,Sony Alpha A7 III,K406,5,1999,2152.3233,3955.6212,False,Male
1873,24/01/2023,Tue,Syria,homs,34.7326,36.7136,Eala Aljawfani,Smartphone,Apple iPhone,iPhone 13 Pro Max,Y449,8,1299,516.6123,894.6213,True,Female
